date,portfolio_value,period_return,cumulative_return,drawdown,turnover,transaction_cost,benchmark_return,excess_return,active_stocks,weight_ABNB,weight_AMGN,weight_BKR,weight_CCEP,weight_GOOGL,weight_LIN,weight_PYPL
2022-10-31,9956600.294212619,-0.005757971107959767,-0.43399705787381393,-0.7022230137676546,0.0,0.0,-0.0463252312370709,0.04056726012911113,7,0.0,0.2,0.2,0.0,0.2,0.2,0.2
2022-11-30,9944618.720069913,-0.1203380048274994,-0.5538127993008679,-0.821715977430959,0.0,0.0,-0.15209029029522622,0.03175228546772682,7,0.0,0.2,0.2,0.0,0.2,0.2,0.2
2022-12-31,9945994.183879344,0.03383123725652695,-0.540058161206558,-0.807998393660838,0.2,1988.923744013983,-0.07917861959763935,0.1130098568541663,7,0.0,0.2,0.2,0.2,0.2,0.2,0.0
2023-01-31,9946755.869929235,0.0076582193374633845,-0.5324413007076423,-0.8004020526126162,0.0,0.0,-0.07191342541149684,0.07957164474896022,7,0.0,0.2,0.2,0.2,0.2,0.2,0.0
2023-02-28,9945024.738937369,-0.017403975874185563,-0.5497526106263084,-0.8176667267066704,0.0,0.0,-0.10423655009695462,0.08683257422276906,7,0.0,0.2,0.2,0.2,0.2,0.2,0.0
2023-03-31,9953213.994714562,0.08234525294974447,-0.46786005285438526,-0.7359947834913126,0.0,0.0,0.016832120517002676,0.06551313243274179,7,0.0,0.2,0.2,0.2,0.2,0.2,0.0
2023-04-30,9953737.378448913,0.005258439481258394,-0.4626262155108751,-0.7307750458503411,0.0,0.0,-0.047893814742565155,0.05315225422382355,7,0.0,0.2,0.2,0.2,0.2,0.2,0.0
2023-05-31,9967608.799345113,0.1393589198589325,-0.3239120065488654,-0.592434526201912,0.0,0.0,0.14212763628789354,-0.0027687164289610378,7,0.0,0.2,0.2,0.2,0.2,0.2,0.0
2023-06-30,9990669.311622659,0.23135450780391692,-0.09330688377341412,-0.36245064238014385,0.0,0.0,0.20544701601777754,0.02590749178613938,7,0.0,0.2,0.2,0.2,0.2,0.2,0.0
2023-07-31,10021819.832814606,0.3117961391806603,0.21819832814606865,-0.05178461030885374,0.0,0.0,0.2012325110180037,0.11056362816265658,7,0.0,0.2,0.2,0.2,0.2,0.2,0.0
2023-08-31,10063524.32524014,0.416136920452118,0.6352432524014073,0.0,0.0,0.0,0.280263460108212,0.13587346034390596,7,0.0,0.2,0.2,0.2,0.2,0.2,0.0
2023-09-30,10085964.370752266,0.22298396453261377,0.8596437075226504,0.0,0.0,0.0,0.10603333397635392,0.11695063055625984,7,0.0,0.2,0.2,0.2,0.2,0.2,0.0
2023-10-31,10107469.085797384,0.2132142674177885,1.074690857973848,0.0,0.0,0.0,0.16181172723216672,0.05140254018562179,7,0.0,0.2,0.2,0.2,0.2,0.2,0.0
2023-11-30,10138026.758132212,0.302327635884285,1.3802675813221255,0.0,0.0,0.0,0.29587492346763605,0.006452712416648965,7,0.0,0.2,0.2,0.2,0.2,0.2,0.0
2023-12-31,10155873.668258933,0.21603928804397585,1.5587366825893234,0.0,0.4,4055.210703252885,0.18768988496490885,0.028349403079066998,7,0.2,0.0,0.0,0.2,0.2,0.2,0.2
2024-01-31,10180825.997179966,0.2456935733556748,1.808259971799675,0.0,0.0,0.0,0.20601186728371038,0.03968170607196442,7,0.2,0.0,0.0,0.2,0.2,0.2,0.2
2024-02-29,10210329.420170335,0.28979400098323826,2.103294201703343,0.0,0.0,0.0,0.27530371504170553,0.014490285941532732,7,0.2,0.0,0.0,0.2,0.2,0.2,0.2
2024-03-31,10232734.410171872,0.2194345459342003,2.327344101718709,0.0,0.0,0.0,0.20321454852819443,0.01621999740600588,7,0.2,0.0,0.0,0.2,0.2,0.2,0.2
